Count, PWM, RPM
141, 47, 0.00
142, 47, 0.00
143, 47, 66.67
144, 48, 180.00
145, 48, 180.00
146, 49, 200.00
147, 49, 206.67
148, 49, 206.67
149, 49, 206.67
150, 50, 220.00
151, 50, 213.33
152, 51, 213.33
153, 51, 226.67
154, 51, 220.00
155, 51, 233.33
156, 52, 226.67
157, 52, 233.33
158, 53, 233.33
159, 53, 233.33
160, 53, 240.00
161, 54, 240.00
162, 54, 246.67
163, 54, 246.67
164, 54, 246.67
165, 55, 260.00
166, 55, 260.00
167, 55, 260.00
168, 56, 266.67
169, 56, 266.67
170, 56, 266.67
171, 57, 273.33
172, 57, 280.00
173, 57, 280.00
174, 58, 293.33
175, 58, 293.33
176, 58, 286.67
177, 59, 293.33
178, 59, 300.00
179, 59, 293.33
180, 60, 300.00
181, 60, 293.33
182, 61, 300.00
183, 61, 306.67
184, 61, 293.33
185, 61, 326.67
186, 62, 320.00
187, 62, 326.67
188, 63, 306.67
189, 63, 333.33
190, 63, 326.67
191, 63, 313.33
192, 64, 326.67
193, 64, 320.00
194, 64, 333.33
195, 65, 346.67
196, 65, 340.00
197, 66, 360.00
198, 66, 446.67
199, 66, 406.67
200, 66, 373.33
201, 67, 366.67
202, 67, 360.00
203, 67, 340.00
204, 68, 353.33
205, 68, 346.67
206, 68, 346.67
207, 69, 346.67
208, 69, 353.33
209, 70, 353.33
210, 70, 353.33
211, 70, 360.00
212, 70, 353.33
213, 71, 373.33
214, 71, 380.00
215, 72, 360.00
216, 72, 380.00
217, 72, 373.33
218, 72, 366.67
219, 73, 373.33
220, 73, 380.00
221, 73, 366.67
222, 74, 380.00
223, 74, 386.67
224, 75, 380.00
225, 75, 386.67
226, 75, 386.67
227, 75, 380.00
228, 76, 380.00
229, 76, 386.67
230, 76, 386.67
231, 77, 386.67
232, 77, 400.00
233, 78, 386.67
234, 78, 406.67
235, 78, 393.33
236, 78, 406.67
237, 79, 420.00
238, 79, 406.67
239, 79, 406.67
240, 80, 413.33
241, 80, 400.00
242, 80, 406.67
243, 81, 413.33
244, 81, 413.33
245, 81, 440.00
246, 82, 433.33
247, 82, 426.67
248, 83, 433.33
249, 83, 433.33
250, 83, 420.00
251, 84, 420.00
252, 84, 426.67
253, 84, 433.33
254, 84, 466.67
255, 85, 466.67
256, 85, 460.00
257, 85, 426.67
258, 86, 440.00
259, 86, 446.67
260, 87, 440.00
261, 87, 446.67
262, 87, 453.33
263, 88, 426.67
264, 88, 453.33
265, 88, 453.33
266, 88, 493.33
267, 89, 473.33
268, 89, 453.33
269, 89, 453.33
270, 90, 446.67
271, 90, 446.67
272, 90, 440.00
273, 91, 466.67
274, 91, 460.00
275, 92, 460.00
276, 92, 453.33
277, 92, 546.67
278, 92, 560.00
279, 93, 533.33
280, 93, 480.00
281, 93, 466.67
282, 94, 460.00
283, 94, 466.67
284, 94, 453.33
285, 95, 473.33
286, 95, 486.67
287, 96, 526.67
288, 96, 480.00
289, 96, 513.33
290, 97, 500.00
291, 97, 466.67
292, 97, 480.00
293, 98, 493.33
294, 98, 480.00
295, 98, 473.33
296, 98, 473.33
297, 99, 493.33
298, 99, 560.00
299, 100, 526.67
300, 100, 493.33
301, 100, 493.33
302, 100, 486.67
303, 101, 513.33
304, 101, 493.33
305, 102, 480.00
306, 102, 486.67
307, 102, 500.00
308, 102, 520.00
309, 103, 493.33
310, 103, 486.67
311, 103, 486.67
312, 104, 493.33
313, 104, 500.00
314, 104, 500.00
315, 105, 493.33
316, 105, 500.00
317, 105, 500.00
318, 106, 500.00
319, 106, 506.67
320, 107, 500.00
