Count, PWM, RPM
0, 48, 180.00
1, 48, 180.00
2, 49, 200.00
3, 49, 206.67
4, 49, 206.67
5, 49, 206.67
6, 50, 220.00
7, 50, 213.33
8, 51, 213.33
9, 51, 226.67
10, 51, 220.00
11, 51, 233.33
12, 52, 226.67
13, 52, 233.33
14, 53, 233.33
15, 53, 233.33
16, 53, 240.00
17, 54, 240.00
18, 54, 246.67
19, 54, 246.67
20, 54, 246.67
21, 55, 260.00
22, 55, 260.00
23, 55, 260.00
24, 56, 266.67
25, 56, 266.67
26, 56, 266.67
27, 57, 273.33
28, 57, 280.00
29, 57, 280.00
30, 58, 293.33
31, 58, 293.33
32, 58, 286.67
33, 59, 293.33
34, 59, 300.00
35, 59, 293.33
36, 60, 300.00
37, 60, 293.33
38, 61, 300.00
39, 61, 306.67
40, 61, 293.33
41, 61, 326.67
42, 62, 320.00
43, 62, 326.67
44, 63, 306.67
45, 63, 333.33
46, 63, 326.67
47, 63, 313.33
48, 64, 326.67
49, 64, 320.00
50, 64, 333.33
51, 65, 346.67
52, 65, 340.00
53, 66, 360.00
54, 66, 446.67
55, 66, 406.67
56, 66, 373.33
57, 67, 366.67
58, 67, 360.00
59, 67, 340.00
60, 68, 353.33
61, 68, 346.67
62, 68, 346.67
63, 69, 346.67
64, 69, 353.33
65, 70, 353.33
66, 70, 353.33
67, 70, 360.00
68, 70, 353.33
69, 71, 373.33
70, 71, 380.00
71, 72, 360.00
72, 72, 380.00
73, 72, 373.33
74, 72, 366.67
75, 73, 373.33
76, 73, 380.00
77, 73, 366.67
78, 74, 380.00
79, 74, 386.67
80, 75, 380.00
81, 75, 386.67
82, 75, 386.67
83, 75, 380.00
84, 76, 380.00
85, 76, 386.67
86, 76, 386.67
87, 77, 386.67
88, 77, 400.00
89, 78, 386.67
90, 78, 406.67
91, 78, 393.33
92, 78, 406.67
93, 79, 420.00
94, 79, 406.67
95, 79, 406.67
96, 80, 413.33
97, 80, 400.00
98, 80, 406.67
99, 81, 413.33
100, 81, 413.33
101, 81, 440.00
102, 82, 433.33
103, 82, 426.67
104, 83, 433.33
105, 83, 433.33
106, 83, 420.00
107, 84, 420.00
108, 84, 426.67
109, 84, 433.33
110, 84, 466.67
111, 85, 466.67
112, 85, 460.00
113, 85, 426.67
114, 86, 440.00
115, 86, 446.67
116, 87, 440.00
117, 87, 446.67
118, 87, 453.33
119, 88, 426.67
120, 88, 453.33
121, 88, 453.33
122, 88, 493.33
123, 89, 473.33
124, 89, 453.33
125, 89, 453.33
126, 90, 446.67
127, 90, 446.67
128, 90, 440.00
129, 91, 466.67
130, 91, 460.00
131, 92, 460.00
132, 92, 453.33
133, 92, 546.67
134, 92, 560.00
135, 93, 533.33
136, 93, 480.00
137, 93, 466.67
138, 94, 460.00
139, 94, 466.67
140, 94, 453.33
141, 95, 473.33
142, 95, 486.67
143, 96, 526.67
